link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title
https://www.1tv.am/hy/video/Հարցազրույց-Սոսի-Թաթիկյանի-հետ/235331,https://www.youtube.com/embed/gkLMht3Vt-k?autoplay=1&autohide=1,Հարցազրույց Սոսի Թաթիկյանի հետ,22:10,"03 Հլս, 2025",03,Հլս,2025,07,2025-07-03,սոս թաթիկյան
https://www.1tv.am/hy/video/Հարցազրույց-Համբիկ-Սարաֆյանի-հետ/235319,https://www.youtube.com/embed/yjj8ISwxTwE?autoplay=1&autohide=1,Հարցազրույց Համբիկ Սարաֆյանի հետ,22:10,"02 Հլս, 2025",02,Հլս,2025,07,2025-07-02,համբիկ սարաֆյան
https://www.1tv.am/hy/video/Հարցազրույց-Կայա-Կալասի-հետ/235300,https://www.youtube.com/embed/Hd6l_IRhygI?autoplay=1&autohide=1,Հարցազրույց Կայա Կալասի հետ,22:10,"01 Հլս, 2025",01,Հլս,2025,07,2025-07-01,կայա կալաս
https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Պողոսյանի-հետ/235299,https://www.youtube.com/embed/d5x7uI6cCLI?autoplay=1&autohide=1,Հարցազրույց Արթուր Պողոսյանի հետ,22:10,"30 Հնս, 2025",30,Հնս,2025,06,2025-06-30,արթուր պողոսյան
https://www.1tv.am/hy/video/Հարցազրույց-Էլեն-Հոխիկյանի-հետ/235233,https://www.youtube.com/embed/gpIDqXFZx8o?autoplay=1&autohide=1,Հարցազրույց Էլեն Հոխիկյանի հետ,22:30,"27 Հնս, 2025",27,Հնս,2025,06,2025-06-27,էլեն հոխիկյան
https://www.1tv.am/hy/video/Հարցազրույց-Խորեն-Վարդապետ-Հովհաննիսյանի-հետ/235242,https://www.youtube.com/embed/L9QYke6Lavg?autoplay=1&autohide=1,Հարցազրույց Խորեն Վարդապետ Հովհաննիսյանի հետ,22:05,"27 Հնս, 2025",27,Հնս,2025,06,2025-06-27,խորեն վարդապետ հովհաննիսյան
https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/235223,https://www.youtube.com/embed/YQ3IWIXioi8?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,22:10,"26 Հնս, 2025",26,Հնս,2025,06,2025-06-26,անդրանիկ քոչարյան
https://www.1tv.am/hy/video/Հարցազրույց-Ալեն-Սիմոնյանի-հետ/235216,https://www.youtube.com/embed/g9xybkHV0lc?autoplay=1&autohide=1,Հարցազրույց Ալեն Սիմոնյանի հետ,22:10,"25 Հնս, 2025",25,Հնս,2025,06,2025-06-25,ալեն սիմոնյան
https://www.1tv.am/hy/video/Հարցազրույց-Կարինե-Գևորգյանի-հետ/235214,https://www.youtube.com/embed/eVYSKBkEQ3c?autoplay=1&autohide=1,Հարցազրույց Կարինե Գևորգյանի հետ,22:10,"24 Հնս, 2025",24,Հնս,2025,06,2025-06-24,կարինե գևորգյան
https://www.1tv.am/hy/video/Հարցազրույց-Գեորգի-Դերլուգյանի-հետ/235100,https://www.youtube.com/embed/9J1L57KDjh0?autoplay=1&autohide=1,Հարցազրույց Գեորգի Դերլուգյանի հետ,22:10,"23 Հնս, 2025",23,Հնս,2025,06,2025-06-23,գեորգ դերլուգյան
https://www.1tv.am/hy/video/Հարցազրույց-Վիլեն-Գաբրիելյանի-հետ/235022,https://www.youtube.com/embed/lgK9ftDnw7k?autoplay=1&autohide=1,Հարցազրույց Վիլեն Գաբրիելյանի հետ,22:10,"20 Հնս, 2025",20,Հնս,2025,06,2025-06-20,վիլեն գաբրիելյան
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Եսայանի-հետ/234963,https://www.youtube.com/embed/TpKNCQw712I?autoplay=1&autohide=1,Հարցազրույց Հայկ Եսայանի հետ,22:10,"19 Հնս, 2025",19,Հնս,2025,06,2025-06-19,հայկ եսայան
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/234946,https://www.youtube.com/embed/gRysYMqznrU?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,22:10,"18 Հնս, 2025",18,Հնս,2025,06,2025-06-18,հայկ կոնջորյան
https://www.1tv.am/hy/video/Հարցազրույց-Միքայել-Զոլյանի-հետ/234899,https://www.youtube.com/embed/6hiWBZOxhhE?autoplay=1&autohide=1,Հարցազրույց Միքայել Զոլյանի հետ,22:10,"17 Հնս, 2025",17,Հնս,2025,06,2025-06-17,միքայել զոլյան
https://www.1tv.am/hy/video/Հարցազրույց-Գոհար-Իսկանդարյանի-հետ/234878,https://www.youtube.com/embed/VaOALzBUEpY?autoplay=1&autohide=1,Հարցազրույց Գոհար Իսկանդարյանի հետ,22:10,"16 Հնս, 2025",16,Հնս,2025,06,2025-06-16,գոհար իսկանդարյան
https://www.1tv.am/hy/video/Հարցազրույց-փորձագետների-հետ/234781,https://www.youtube.com/embed/b264_CxWxSg?autoplay=1&autohide=1,Հարցազրույց փորձագետների հետ,22:10,"13 Հնս, 2025",13,Հնս,2025,06,2025-06-13,փորձագետներ
https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Վանեցյանի-հետ/234732,https://www.youtube.com/embed/vCbnIJM8ihQ?autoplay=1&autohide=1,Հարցազրույց Արթուր Վանեցյանի հետ,22:10,"12 Հնս, 2025",12,Հնս,2025,06,2025-06-12,արթուր վանեցյան
https://www.1tv.am/hy/video/Հարցազրույց-Ալեն-Բերսեի-հետ/234707,https://www.youtube.com/embed/m_DdC-tuJNc?autoplay=1&autohide=1,Հարցազրույց Ալեն Բերսեի հետ,22:10,"11 Հնս, 2025",11,Հնս,2025,06,2025-06-11,ալեն բերսե
