link,video_link,title,time,date
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/233997,https://www.youtube.com/embed/IQ9Ghx8vWHQ?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,22:10,"20 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արամ-Սարգսյանի-հետ/233946,https://www.youtube.com/embed/ZoxxSL1qUps?autoplay=1&autohide=1,Հարցազրույց Արամ Սարգսյանի հետ,22:10,"19 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Տիգրան-Հակոբյանի-հետ/233842,https://www.youtube.com/embed/9aeOF-4ZWf0?autoplay=1&autohide=1,Հարցազրույց Տիգրան Հակոբյանի հետ,22:10,"16 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Ռուբեն-Ռուբինյանի-հետ/233751,https://www.youtube.com/embed/1hIJrTDufbE?autoplay=1&autohide=1,Հարցազրույց Ռուբեն Ռուբինյանի հետ,22:10,"14 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Սարգսյանի-հետ/233726,https://www.youtube.com/embed/WsJQYLxGo9I?autoplay=1&autohide=1,Հարցազրույց Հայկ Սարգսյանի հետ,22:10,"13 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Վահագն-Ալեքսանյանի-հետ/233685,https://www.youtube.com/embed/XUc3kLWgZQg?autoplay=1&autohide=1,Հարցազրույց Վահագն Ալեքսանյանի հետ,22:10,"12 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արծրուն-Հովհաննիսյանի-հետ/233603,https://www.youtube.com/embed/NLFYH-I985g?autoplay=1&autohide=1,Հարցազրույց Արծրուն Հովհաննիսյանի հետ,22:10,"09 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Աննա-Վարդապետյանի-հետ/233596,https://www.youtube.com/embed/9KDAEGmyy-4?autoplay=1&autohide=1,Հարցազրույց Աննա Վարդապետյանի հետ,22:10,"08 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Գառնիկ-Դանիելյանի-հետ/233590,https://www.youtube.com/embed/kwPt9TXlRgk?autoplay=1&autohide=1,Հարցազրույց Գառնիկ Դանիելյանի հետ,22:10,"07 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Նահապետյանի-հետ/233462,https://www.youtube.com/embed/6LnkR5jb46k?autoplay=1&autohide=1,Հարցազրույց Արթուր Նահապետյանի հետ,22:10,"06 Մայ, 2025"
