link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title,video_id,Duration,Thumbnail_URL,Views
https://www.1tv.am/hy/video/Հարցազրույց-Սոսի-Թաթիկյանի-հետ/235331,https://www.youtube.com/embed/gkLMht3Vt-k?autoplay=1&autohide=1,Հարցազրույց Սոսի Թաթիկյանի հետ,22:10,"03 Հլս, 2025",3,Հլս,2025,7,2025-07-03,սոս թաթիկյան,gkLMht3Vt-k,00:35:21,https://i.ytimg.com/vi/gkLMht3Vt-k/hqdefault.jpg,34201
https://www.1tv.am/hy/video/Հարցազրույց-Համբիկ-Սարաֆյանի-հետ/235319,https://www.youtube.com/embed/yjj8ISwxTwE?autoplay=1&autohide=1,Հարցազրույց Համբիկ Սարաֆյանի հետ,22:10,"02 Հլս, 2025",2,Հլս,2025,7,2025-07-02,համբիկ սարաֆյան,yjj8ISwxTwE,00:28:10,https://i.ytimg.com/vi/yjj8ISwxTwE/hqdefault.jpg,34252
https://www.1tv.am/hy/video/Հարցազրույց-Կայա-Կալասի-հետ/235300,https://www.youtube.com/embed/Hd6l_IRhygI?autoplay=1&autohide=1,Հարցազրույց Կայա Կալասի հետ,22:10,"01 Հլս, 2025",1,Հլս,2025,7,2025-07-01,կայա կալաս,Hd6l_IRhygI,00:13:05,https://i.ytimg.com/vi/Hd6l_IRhygI/hqdefault.jpg,42904
https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Պողոսյանի-հետ/235299,https://www.youtube.com/embed/d5x7uI6cCLI?autoplay=1&autohide=1,Հարցազրույց Արթուր Պողոսյանի հետ,22:10,"30 Հնս, 2025",30,Հնս,2025,6,2025-06-30,արթուր պողոսյան,d5x7uI6cCLI,00:36:36,https://i.ytimg.com/vi/d5x7uI6cCLI/hqdefault.jpg,99204
https://www.1tv.am/hy/video/Հարցազրույց-Էլեն-Հոխիկյանի-հետ/235233,https://www.youtube.com/embed/gpIDqXFZx8o?autoplay=1&autohide=1,Հարցազրույց Էլեն Հոխիկյանի հետ,22:30,"27 Հնս, 2025",27,Հնս,2025,6,2025-06-27,էլեն հոխիկյան,gpIDqXFZx8o,00:20:50,https://i.ytimg.com/vi/gpIDqXFZx8o/hqdefault.jpg,42113
https://www.1tv.am/hy/video/Հարցազրույց-Խորեն-Վարդապետ-Հովհաննիսյանի-հետ/235242,https://www.youtube.com/embed/L9QYke6Lavg?autoplay=1&autohide=1,Հարցազրույց Խորեն Վարդապետ Հովհաննիսյանի հետ,22:05,"27 Հնս, 2025",27,Հնս,2025,6,2025-06-27,խորեն վարդապետ հովհաննիսյան,L9QYke6Lavg,00:28:10,https://i.ytimg.com/vi/L9QYke6Lavg/hqdefault.jpg,147358
https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/235223,https://www.youtube.com/embed/YQ3IWIXioi8?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,22:10,"26 Հնս, 2025",26,Հնս,2025,6,2025-06-26,անդրանիկ քոչարյան,YQ3IWIXioi8,00:30:40,https://i.ytimg.com/vi/YQ3IWIXioi8/hqdefault.jpg,103125
https://www.1tv.am/hy/video/Հարցազրույց-Ալեն-Սիմոնյանի-հետ/235216,https://www.youtube.com/embed/g9xybkHV0lc?autoplay=1&autohide=1,Հարցազրույց Ալեն Սիմոնյանի հետ,22:10,"25 Հնս, 2025",25,Հնս,2025,6,2025-06-25,ալեն սիմոնյան,g9xybkHV0lc,00:37:16,https://i.ytimg.com/vi/g9xybkHV0lc/hqdefault.jpg,119101
https://www.1tv.am/hy/video/Հարցազրույց-Կարինե-Գևորգյանի-հետ/235214,https://www.youtube.com/embed/eVYSKBkEQ3c?autoplay=1&autohide=1,Հարցազրույց Կարինե Գևորգյանի հետ,22:10,"24 Հնս, 2025",24,Հնս,2025,6,2025-06-24,կարինե գևորգյան,eVYSKBkEQ3c,00:26:36,https://i.ytimg.com/vi/eVYSKBkEQ3c/hqdefault.jpg,45689
https://www.1tv.am/hy/video/Հարցազրույց-Գեորգի-Դերլուգյանի-հետ/235100,https://www.youtube.com/embed/9J1L57KDjh0?autoplay=1&autohide=1,Հարցազրույց Գեորգի Դերլուգյանի հետ,22:10,"23 Հնս, 2025",23,Հնս,2025,6,2025-06-23,գեորգ դերլուգյան,9J1L57KDjh0,00:22:31,https://i.ytimg.com/vi/9J1L57KDjh0/hqdefault.jpg,36081
