,link,video_link,title,time,date,video_id,views,likes,comments,shares
0,https://www.1tv.am/hy/video/Հարցազրույց-Սոսի-Թաթիկյանի-հետ/235331,https://www.youtube.com/embed/gkLMht3Vt-k?autoplay=1&autohide=1,Հարցազրույց Սոսի Թաթիկյանի հետ,22:10,"03 Հլս, 2025",gkLMht3Vt-k,33761,410,0,N/A
1,https://www.1tv.am/hy/video/Հարցազրույց-Համբիկ-Սարաֆյանի-հետ/235319,https://www.youtube.com/embed/yjj8ISwxTwE?autoplay=1&autohide=1,Հարցազրույց Համբիկ Սարաֆյանի հետ,22:10,"02 Հլս, 2025",yjj8ISwxTwE,33991,518,0,N/A
2,https://www.1tv.am/hy/video/Հարցազրույց-Կայա-Կալասի-հետ/235300,https://www.youtube.com/embed/Hd6l_IRhygI?autoplay=1&autohide=1,Հարցազրույց Կայա Կալասի հետ,22:10,"01 Հլս, 2025",Hd6l_IRhygI,42727,888,0,N/A
3,https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Պողոսյանի-հետ/235299,https://www.youtube.com/embed/d5x7uI6cCLI?autoplay=1&autohide=1,Հարցազրույց Արթուր Պողոսյանի հետ,22:10,"30 Հնս, 2025",d5x7uI6cCLI,97758,1384,0,N/A
4,https://www.1tv.am/hy/video/Հարցազրույց-Էլեն-Հոխիկյանի-հետ/235233,https://www.youtube.com/embed/gpIDqXFZx8o?autoplay=1&autohide=1,Հարցազրույց Էլեն Հոխիկյանի հետ,22:30,"27 Հնս, 2025",gpIDqXFZx8o,42014,504,0,N/A
5,https://www.1tv.am/hy/video/Հարցազրույց-Խորեն-Վարդապետ-Հովհաննիսյանի-հետ/235242,https://www.youtube.com/embed/L9QYke6Lavg?autoplay=1&autohide=1,Հարցազրույց Խորեն Վարդապետ Հովհաննիսյանի հետ,22:05,"27 Հնս, 2025",L9QYke6Lavg,145988,3177,0,N/A
6,https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/235223,https://www.youtube.com/embed/YQ3IWIXioi8?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,22:10,"26 Հնս, 2025",YQ3IWIXioi8,100581,1183,0,N/A
7,https://www.1tv.am/hy/video/Հարցազրույց-Ալեն-Սիմոնյանի-հետ/235216,https://www.youtube.com/embed/g9xybkHV0lc?autoplay=1&autohide=1,Հարցազրույց Ալեն Սիմոնյանի հետ,22:10,"25 Հնս, 2025",g9xybkHV0lc,118191,1829,0,N/A
8,https://www.1tv.am/hy/video/Հարցազրույց-Կարինե-Գևորգյանի-հետ/235214,https://www.youtube.com/embed/eVYSKBkEQ3c?autoplay=1&autohide=1,Հարցազրույց Կարինե Գևորգյանի հետ,22:10,"24 Հնս, 2025",eVYSKBkEQ3c,45487,255,0,N/A
9,https://www.1tv.am/hy/video/Հարցազրույց-Գեորգի-Դերլուգյանի-հետ/235100,https://www.youtube.com/embed/9J1L57KDjh0?autoplay=1&autohide=1,Հարցազրույց Գեորգի Դերլուգյանի հետ,22:10,"23 Հնս, 2025",9J1L57KDjh0,36008,262,0,N/A
