"U.S. Senator, Full Term (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,"Registered 
Voters",,Undervotes,Overvotes,Precinct,"STEVE GARVEY
(REP) ",,"DENICE GARY-PANDOL
(REP) ",,,"LAURA GARZA
(NPP) ",,"SEPI GILANI
(DEM) ",,,"DON J. GRUNDMANN
(NPP) ",,"FORREST JONES
(AI) ",,"BARBARA LEE
(DEM) ",,"GAIL LIGHTFOOT
(LIB) ",,"SARAH SUN LIEW
(REP) ",,"SHARLETA BASSETT
(REP) ",,"JAMES BRADLEY
(REP) ",,"MARTIN VEPRAUSKAS
(REP) ",,"ERIC EARLY
(REP) ",,"ADAM B. SCHIFF
(DEM) ",,"MAJOR SINGH
(NPP) ",,"STEFAN SIMCHOWITZ
(REP) ",,"CHRISTINA PASCUCCI
(DEM) ",,"DAVID PETERSON
(DEM) ",,"PERRY POUND
(DEM) ",,"KATIE PORTER
(DEM) ",,"DOUGLAS H. PIERCE
(DEM) ",,"RAJI RAB
(DEM) ",,"MARK RUZON
(NPP) ",,"JONATHAN REISS
(REP) ",,"JOHN ROSE
(DEM) ",,"HARMESH KUMAR
(DEM) ",,"JAMES ""JIM"" MACAULEY
(REP) ",,Total Votes,"DANNY FABRICANT
Qualified Write In 
",,"CARLOS GUILLERMO TAPIA
Qualified Write In 
",,"MICHAEL JOSEPH DILGER
Qualified Write In 
",,"JOHN DOWELL
Qualified Write In 
",
Total,131,991,,6,1,Total,10,,0,,,2,,0,,,0,,0,,62,,1,,0,,0,,1,,0,,0,,18,,0,,0,,0,,0,,0,,28,,0,,0,,1,,0,,0,,1,,0,,124,0,,0,,0,,0,
202620,,,,,,202620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,97,745,,5,1,Election Day,1,,0,,,1,,1,,,0,,0,,50,,1,,0,,0,,0,,1,,1,,10,,0,,0,,2,,2,,0,,21,,0,,0,,0,,0,,0,,0,,0,,91,0,,0,,0,,0,
Vote by Mail,81,745,,3,0,Vote by Mail,3,,1,,,0,,0,,,0,,0,,41,,0,,0,,0,,0,,0,,0,,11,,1,,1,,0,,0,,1,,16,,0,,0,,1,,2,,0,,0,,0,,78,0,,0,,0,,0,
Total,178,745,,8,1,Total,4,,1,,,1,,1,,,0,,0,,91,,1,,0,,0,,0,,1,,1,,21,,1,,1,,2,,2,,1,,37,,0,,0,,1,,2,,0,,0,,0,,169,0,,0,,0,,0,
203100,,,,,,203100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,67,"3,260",,1,0,Election Day,9,,0,,,0,,0,,,1,,0,,20,,0,,0,,0,,0,,0,,1,,24,,0,,0,,0,,0,,0,,10,,0,,0,,1,,0,,0,,0,,0,,66,0,,0,,0,,0,
Vote by Mail,"1,797","3,260",,18,11,Vote by Mail,61,,1,,,0,,1,,,0,,0,,420,,0,,2,,0,,2,,0,,4,,822,,1,,1,,6,,0,,2,,444,,0,,0,,1,,0,,0,,0,,0,,"1,768",0,,0,,0,,0,
Total,"1,864","3,260",,19,11,Total,70,,1,,,0,,1,,,1,,0,,440,,0,,2,,0,,2,,0,,5,,846,,1,,1,,6,,0,,2,,454,,0,,0,,2,,0,,0,,0,,0,,"1,834",0,,0,,0,,0,
203500,,,,,,203500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,60,"1,390",,1,1,Election Day,7,,0,,,0,,0,,,0,,1,,21,,0,,0,,0,,0,,1,,0,,7,,2,,0,,1,,0,,0,,18,,0,,0,,0,,0,,0,,0,,0,,58,0,,0,,0,,0,
Vote by Mail,586,"1,390",,11,5,Vote by Mail,33,,0,,,0,,0,,,0,,0,,145,,0,,0,,1,,0,,0,,0,,257,,1,,3,,1,,1,,0,,123,,0,,1,,1,,0,,1,,1,,1,,570,0,,0,,0,,0,
Total,646,"1,390",,12,6,Total,40,,0,,,0,,0,,,0,,1,,166,,0,,0,,1,,0,,1,,0,,264,,3,,3,,2,,1,,0,,141,,0,,1,,1,,0,,1,,1,,1,,628,0,,0,,0,,0,
203800,,,,,,203800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,74,"2,265",,2,1,Election Day,2,,0,,,0,,0,,,0,,1,,28,,0,,0,,0,,0,,0,,0,,20,,0,,0,,0,,1,,1,,18,,0,,0,,0,,0,,0,,0,,0,,71,0,,0,,0,,0,
Vote by Mail,"1,111","2,265",,12,2,Vote by Mail,12,,1,,,1,,0,,,0,,0,,399,,2,,0,,3,,0,,0,,2,,361,,2,,1,,2,,0,,3,,307,,0,,0,,1,,0,,0,,0,,0,,"1,097",0,,0,,0,,0,
Total,"1,185","2,265",,14,3,Total,14,,1,,,1,,0,,,0,,1,,427,,2,,0,,3,,0,,0,,2,,381,,2,,1,,2,,1,,4,,325,,0,,0,,1,,0,,0,,0,,0,,"1,168",0,,0,,0,,0,
