country,continent,life_expectancy,population,gdp,gdp_per_capita
Trinidad and Tobago,N. America,68.533,1292058,13561440768,10496.0
Tunisia,Africa,73.15899999999998,9456117,51819521160,5480.0
Turkey,Asia,70.01,63627862,432860345186,6803.0
Turkmenistan,Asia,63.925,4501419,14805167091,3289.0
Uganda,Africa,48.12600000000001,24213120,21331758720,881.0
Ukraine,Europe,67.79,48891792,180899630400,3700.0
United Arab Emirates,Asia,74.163,3033491,91041131892,30012.0
United Kingdom,Europe,78.04,58874117,1686390207348,28644.0
United States,N. America,76.8,282496310,11231488292980,39758.0
Uruguay,S. America,74.777,3319066,30176948072,9092.0
Uzbekistan,Asia,66.999,24775610,40508122350,1635.0
Vanuatu,Oceania,67.438,185074,696248388,3762.0
Venezuela,S. America,72.432,24348304,229701899936,9434.0
Vietnam,Asia,73.777,78758010,124201381770,1577.0
West Bank and Gaza,Asia,70.929,3198560,24264276160,7586.0
"Yemen, Rep.",Asia,60.404,17723186,39292303362,2217.0
Zambia,Africa,41.802,10201562,10558616670,1035.0
Zimbabwe,Africa,43.976000000000006,12509477,9319560365,745.0
