precinct,total_votes,candidate_name_1,candidate_name_2,candidate_name_3,candidate_name_4,candidate_name_5+,candidate_pct_1,candidate_pct_2,candidate_pct_3,candidate_pct_4,candidate_pct_5+,candidate_votes_1,candidate_votes_2,candidate_votes_3,candidate_votes_4,candidate_votes_5+,winner,spread,county
208510,615.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.4845528455284553,0.25203252032520324,0.22439024390243903,0.027642276422764227,0.011382113821138212,298.0,155.0,138.0,17.0,7.0,Barbara Lee,0.23252032520325205,Alameda County
208690,14.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.0,10.0,2.0,2.0,0.0,0.0,Barbara Lee,0.5714285714285714,Alameda County
208800,1098.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.5200364298724954,0.20856102003642987,0.20856102003642987,0.026411657559198543,0.03642987249544627,571.0,229.0,229.0,29.0,40.0,Barbara Lee,0.3114754098360656,Alameda County
208810,691.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.48480463096960924,0.28075253256150506,0.18958031837916064,0.01881331403762663,0.02604920405209841,335.0,194.0,131.0,13.0,18.0,Barbara Lee,0.20405209840810418,Alameda County
209010,2012.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.46272365805168986,0.2629224652087475,0.23906560636182903,0.019880715705765408,0.015407554671968192,931.0,529.0,481.0,40.0,31.0,Barbara Lee,0.19980119284294234,Alameda County
209310,2994.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.3587174348697395,0.3316633266533066,0.27788911155644624,0.017702070808283232,0.014028056112224449,1074.0,993.0,832.0,53.0,42.0,Barbara Lee,0.027054108216432893,Alameda County
209700,1033.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.4036786060019361,0.30977734753146174,0.24298160696999033,0.02420135527589545,0.01936108422071636,417.0,320.0,251.0,25.0,20.0,Barbara Lee,0.09390125847047437,Alameda County
209900,1717.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.4443797320908561,0.27140361094933024,0.23238206173558532,0.0203843913803145,0.0314502038439138,763.0,466.0,399.0,35.0,54.0,Barbara Lee,0.17297612114152588,Alameda County
213100,579.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.5094991364421416,0.19861830742659758,0.19689119170984457,0.0846286701208981,0.010362694300518135,295.0,115.0,114.0,49.0,6.0,Adam B. Schiff,0.31088082901554404,Alameda County
213500,1581.0,Adam B. Schiff,Katie Porter,Barbara Lee,Steve Garvey,Other,0.4876660341555977,0.20936116382036685,0.1935483870967742,0.09044908285895004,0.018975332068311195,771.0,331.0,306.0,143.0,30.0,Adam B. Schiff,0.2783048703352309,Alameda County
213600,2147.0,Adam B. Schiff,Katie Porter,Barbara Lee,Steve Garvey,Other,0.48206800186306475,0.22915696320447135,0.19748486259897532,0.0735910572892408,0.017699115044247787,1035.0,492.0,424.0,158.0,38.0,Adam B. Schiff,0.25291103865859343,Alameda County
214200,1416.0,Adam B. Schiff,Katie Porter,Barbara Lee,Steve Garvey,Other,0.4357344632768362,0.2549435028248588,0.22387005649717515,0.0713276836158192,0.014124293785310734,617.0,361.0,317.0,101.0,20.0,Adam B. Schiff,0.1807909604519774,Alameda County
